# sections
Ambassador Programs
HBCU Opportunities
Rising Freshmen & Class of 2030 Opportunities
Scholarships
State-Based Scholarships & Grants
Underclassmen Internships
Underclassmen Programs (Fellowships, Externships, etc.)
Underclassmen Research Programs
Women in Tech Opportunities
# rows
Ambassador Programs	AWS / AWS Student Builder Group Leader — Deadline: Oct 4, 2026 (11:59 PM PST) (Extended from Aug 16) @ Global / Campus	Status=🔥 [CLOSING SOON]; Company=AWS; Program=AWS Student Builder Group Leader — Deadline: Oct 4, 2026 (11:59 PM PST) (Extended from Aug 16); Type=Student Group Leader / Ambassador Program (Currently Enrolled College or University Students); Location=Global / Campus; Application=[ ](https://pulse.aws/application/ZDX1WD7R); Date Posted=Aug 9, 2026
Ambassador Programs	AWS / NextGen / AWS Global University Program — Deadline: Rolling @ Check site	Status=✅ [OPEN]; Company=AWS / NextGen; Program=AWS Global University Program — Deadline: Rolling; Type=University Ambassador Program (Cloud / AWS Community); Location=Check site; Application=[ ](https://nextgen.team/aws-global-university-program/); Date Posted=Jul 5, 2026
Ambassador Programs	GitHub / Campus Expert — Deadline: Annual Window (Applications Open Each July; Next: July 2027) @ Global / Campus	Status=⏳ [OPENS SOON]; Company=GitHub; Program=Campus Expert — Deadline: Annual Window (Applications Open Each July; Next: July 2027); Type=Student Leadership / Ambassador (Community Building; Training + Resources); Location=Global / Campus; Application=[ ](https://docs.github.com/en/education/about-github-education/use-github-at-your-educational-institution/applying-to-be-a-github-campus-expert); Date Posted=Jul 5, 2026
Ambassador Programs	Google / Google Student Influencer Program (2026) — Deadline: Check site @ Remote / US Campuses	Status=✅ [OPEN]; Company=Google; Program=Google Student Influencer Program (2026) — Deadline: Check site; Type=Student Influencer / Creator Program; Location=Remote / US Campuses; Application=[ ](https://youthmarketing.typeform.com/GoogleCreator); Date Posted=Jul 7, 2026
Ambassador Programs	Microsoft / Microsoft Learn Student Ambassadors — Deadline: Rolling @ Global / Campus	Status=✅ [OPEN]; Company=Microsoft; Program=Microsoft Learn Student Ambassadors — Deadline: Rolling; Type=Ambassador / Leadership Program (Any Major; 16+; All Disciplines); Location=Global / Campus; Application=[ ](https://mvp.microsoft.com/studentambassadors); Date Posted=Apr 19, 2026
Ambassador Programs	Monster Energy / College Ambassador Team (CAT) — Deadline: Check site @ US Campuses	Status=✅ [OPEN]; Company=Monster Energy; Program=College Ambassador Team (CAT) — Deadline: Check site; Type=Brand Ambassador (Campus Reps); Location=US Campuses; Application=[ ](https://catportal.monsterenergy.com/apply); Date Posted=Jul 5, 2026
Ambassador Programs	Pearson / Pearson Campus Ambassador — Deadline: Rolling @ US Campuses	Status=✅ [OPEN]; Company=Pearson; Program=Pearson Campus Ambassador — Deadline: Rolling; Type=Campus Ambassador (Paid; EdTech Marketing); Location=US Campuses; Application=[ ](https://www.pearson.com/en-us/higher-education/students/student-programs/pearson-campus-ambassador.html); Date Posted=Jul 5, 2026
Ambassador Programs	Princess Polly / College Ambassador — Deadline: Rolling @ US Campuses	Status=✅ [OPEN]; Company=Princess Polly; Program=College Ambassador — Deadline: Rolling; Type=Brand Ambassador (Fashion; Campus Reps); Location=US Campuses; Application=[ ](https://us.princesspolly.com/pages/college-ambassador); Date Posted=Jul 5, 2026
Ambassador Programs	Red Bull / Student Marketeer — Deadline: Rolling @ US Campuses	Status=✅ [OPEN]; Company=Red Bull; Program=Student Marketeer — Deadline: Rolling; Type=Brand Ambassador (Paid; Campus Marketing); Location=US Campuses; Application=[ ](https://jobs.redbull.com/us-en/microsite/student-marketeer); Date Posted=Jul 5, 2026
HBCU Opportunities	UNCF / UNCF General Scholarship (African American / Hispanic / Native American; 2.5+ GPA) — Deadline: Rolling (2026-27 cycle, typical March 31) @ Remote	Status=✅ [OPEN]; Organization=UNCF; Opportunity=UNCF General Scholarship (African American / Hispanic / Native American; 2.5+ GPA) — Deadline: Rolling (2026-27 cycle, typical March 31); Type=Scholarship Hub ($2.5K–$12.5K; ~$100M/yr); Location=Remote; Application=[ ](https://scholarships.uncf.org/); Date Posted=Apr 19, 2026
HBCU Opportunities	UNCF / UNCF Scholarships Portal (All Majors — STEM, Business, Arts, Humanities) — Deadline: Rolling @ Remote	Status=✅ [OPEN]; Organization=UNCF; Opportunity=UNCF Scholarships Portal (All Majors — STEM, Business, Arts, Humanities) — Deadline: Rolling; Type=Scholarship Hub (Rolling; STEM up to $25K open for 2026-27); Location=Remote; Application=[ ](https://opportunities.uncf.org/s/pre-login-welcome-page); Date Posted=Apr 15, 2026
Rising Freshmen & Class of 2030 Opportunities	Coca-Cola Scholars Foundation / Coca-Cola Scholars Program (HS Senior; 3.0+ GPA) @ Remote	Status=🔥 [CLOSING SOON]; Organization=Coca-Cola Scholars Foundation; Opportunity=Coca-Cola Scholars Program (HS Senior; 3.0+ GPA); Type=Scholarship (150 × $20,000); Location=Remote; Application=[ ](https://www.coca-colascholarsfoundation.org/apply/); Deadline=September 30, 2026 (5pm ET)
